Rk	Team	Conf	G	Rec	AdjOE	AdjDE	Barthag	EFG%	EFGD%	TOR	TORD	ORB	DRB	FTR	FTRD	2P%	2P%D	3P%	3P%D	3PR	3PRD	Adj T.	WAB
1	Duke	ACC	4	4–0
3–0	140.5
1	83.2
1	.9976
1	58.0
38	41.2
6	13.5
78	14.3
253	37.3
27	23.1
36	42.7
63	29.5
111	57.0
65	47.3
71	39.4
66	23.5
11	46.2
73	50.7
352	64.2
316	+2.6
2
2	Michigan	B10	4	3–1
3–0	134.6
7	92.6
12	.9866
2	57.9
40	49.8
112	17.1
245	13.3
297	34.4
71	29.0
171	27.5
287	22.7
25	56.3
80	50.7
130	39.8
58	32.4
137	45.0
88	44.6
294	68.2
135	+2.0
5
3	Arizona	B12	5	5–0
5–0	129.3
14	89.9
3	.9849
3	51.6
191	43.6
18	14.2
103	13.8
274	36.4
39	28.1
148	44.4
45	27.4
76	51.0
207	43.5
18	35.2
159	29.1
71	31.0
312	38.6
174	66.8
203	+3.1
1
4	Michigan St.	B10	4	4–0
4–0	128.7
17	90.8
6	.9822
4	56.9
50	50.0
118	15.3
153	12.9
313	33.3
86	22.3
30	32.9
199	23.0
27	52.7
171	52.2
181	42.4
26	31.8
121	39.4
170	48.2
333	63.9
325	+2.4
3
5	Florida
   (H) 99 Mississippi St.	SEC	4	4–0
4–0	128.9
16	91.7
10	.9805
5	61.4
13	43.5
17	18.7
288	14.9
217	41.9
4	28.7
161	36.1
147	36.1
219	61.3
19	45.5
41	41.0
43	24.6
15	32.4
295	24.2
5	72.2
17	+1.8
6
6	Illinois
   (H) 87 Oregon	B10	3	1–2
1–2	139.8
3	103.3
92	.9701
6	53.4
133	53.7
233	13.3
67	13.8
274	43.3
3	31.7
246	35.6
153	29.8
118	54.3
133	51.7
163	35.0
164	38.2
277	51.5
19	36.2
117	65.9
244	+0.05
74
7	Cincinnati
   (H) 36 BYU	B12	3	2–1
2–1	132.3
10	98.0
43	.9693
7	54.1
107	51.8
170	10.5
11	18.0
92	34.2
74	27.7
133	21.9
347	31.7
160	51.4
195	53.4
210	38.2
84	32.8
144	45.4
82	38.3
169	65.4
268	+0.9
18
8	Missouri
   (A) 50 Oklahoma	SEC	4	3–1
3–1	132.6
9	98.8
46	.9670
8	56.1
64	52.9
208	16.1
193	18.0
92	32.5
108	37.6
342	45.5
33	28.9
99	56.3
80	53.2
201	37.2
107	34.9
182	35.1
251	35.5
100	66.8
203	+1.4
8
9	Texas Tech
   (H) 56 TCU	B12	4	3–1
3–1	138.4
4	103.4
93	.9662
9	62.9
7	47.7
70	19.2
300	9.6
361	38.2
23	28.8
162	30.3
241	30.3
130	59.8
30	46.2
57	44.2
8	33.7
155	47.1
58	35.2
90	63.5
337	+1.0
16
10	Connecticut	BE	4	3–1
3–1	125.2
31	96.1
26	.9542
10	54.8
88	45.7
47	15.0
135	15.8
177	30.5
148	27.8
140	31.3
227	32.3
166	56.8
72	40.7
6	34.7
175	36.1
227	41.9
130	37.2
140	65.6
260	+0.7
23
11	Alabama
   (A) 39 Georgia	SEC	4	4–0
4–0	134.2
8	103.3
91	.9528
11	58.6
32	49.0
89	14.5
117	11.8
337	35.8
45	38.7
351	37.9
127	20.0
12	60.0
27	44.0
25	38.2
84	39.0
297	53.1
10	34.4
74	69.3
91	+2.0
4
12	Tennessee
   (A) 103 South Carolina	SEC	4	2–2
2–2	121.2
50	93.5
16	.9520
12	47.7
298	52.1
183	14.4
112	16.7
138	48.3
1	25.8
88	26.0
305	35.2
205	50.0
234	51.6
160	27.8
330	35.2
195	27.5
351	41.9
244	63.2
345	+0.37
44
13	Virginia
   (H) 71 Wake Forest	ACC	4	3–1
3–1	125.5
28	96.8
34	.9518
13	55.6
72	47.2
64	16.0
189	15.6
193	30.3
154	30.4
213	25.6
311	26.4
63	55.8
91	42.8
14	36.9
113	36.2
230	50.4
28	38.2
167	67.5
170	+1.0
15
14	Houston	B12	3	1–2
1–2	122.8
45	94.8
21	.9513
14	48.3
288	49.0
89	13.6
82	16.1
159	32.4
111	25.3
72	34.6
169	44.2
316	46.4
321	50.4
125	34.3
180	30.2
90	37.4
215	27.6
13	64.9
290	-0.18
83
15	Dayton
   (A) 165 Richmond	A10	4	4–0
4–0	120.8
55	93.6
17	.9496
15	58.7
31	48.0
75	16.3
205	21.6
21	21.9
328	30.1
197	52.0
12	44.6
320	52.7
171	45.4
40	44.2
8	35.1
190	43.9
101	36.3
119	64.7
296	+1.3
9
16	South Florida	Amer	3	3–0
3–0	116.7
80	90.8
5	.9470
16	46.2
327	43.4
16	13.6
82	25.4
2	40.9
10	28.4
155	39.7
93	40.0
274	46.9
311	34.9
1	30.2
283	35.1
190	43.2
111	48.1
331	70.8
43	+0.35
45
17	Saint Mary's	WCC	4	4–0
4–0	123.9
38	96.5
30	.9463
17	53.9
113	47.6
68	17.0
240	15.4
202	41.4
6	19.9
12	26.3
300	26.3
62	46.7
313	48.3
90	44.0
10	30.9
99	37.4
215	35.5
100	65.0
284	+1.7
7
18	Ohio St.	B10	4	2–2
2–2	126.1
25	98.5
44	.9446
18	56.0
67	52.5
196	14.8
127	13.6
287	25.4
279	30.2
205	44.7
43	30.4
132	55.1
110	56.6
281	38.3
80	30.7
96	40.7
149	39.3
192	63.9
325	+0.7
21
19	Georgia
   (H) 17 Alabama	SEC	4	3–1
3–1	140.4
2	110.1
183	.9426
19	61.2
14	53.7
233	10.0
6	13.1
308	28.2
207	36.4
335	32.2
213	39.9
271	56.3
80	55.9
267	44.8
6	33.7
155	45.1
86	40.4
227	64.5
307	+1.1
10
20	Minnesota	B10	4	3–1
3–1	127.3
21	100.4
55	.9389
20	61.9
11	53.4
220	14.3
107	16.3
151	19.4
345	27.1
118	15.2
364	9.5
1	59.2
34	54.3
228	42.9
21	34.7
178	53.3
9	42.8
259	59.9
365	+0.9
19
21	St. John's
   (H) 83 Georgetown	BE	4	3–1
3–1	109.8
166	86.6
2	.9389
21	46.2
327	45.8
48	14.2
103	17.9
95	31.8
123	20.1
14	37.0
142	26.9
67	45.1
338	47.8
80	32.4
231	28.6
64	31.1
306	40.1
219	69.5
81	+0.9
17
22	Purdue	B10	4	1–3
1–3	137.2
5	108.7
163	.9360
22	56.9
50	60.7
355	10.9
12	14.8
224	30.9
142	27.5
130	26.7
294	42.0
305	52.8
168	60.5
341	41.8
34	40.7
322	40.8
148	42.0
245	64.2
316	-0.41
101
23	UCF
   (H) 89 Oklahoma St.	B12	4	3–1
3–1	129.0
15	103.0
88	.9306
23	60.3
22	50.4
133	15.5
164	14.4
246	28.8
194	34.2
300	26.1
302	30.2
128	55.0
114	51.9
170	47.4
1	31.9
126	32.8
290	37.3
143	68.6
113	+0.6
25
24	Kentucky
   (A) 35 Texas A&M	SEC	4	2–2
2–2	120.9
53	96.6
31	.9301
24	53.1
141	50.0
118	19.1
296	14.8
224	41.2
7	27.7
133	33.2
195	29.1
106	52.5
175	51.8
166	36.0
139	31.8
121	41.5
134	43.9
282	68.2
135	+0.02
78
25	Gonzaga	WCC	4	3–1
3–1	116.1
82	92.8
13	.9291
25	53.8
116	44.5
29	12.3
34	21.6
21	27.5
232	32.2
261	25.3
313	27.7
82	56.8
72	40.8
7	32.6
219	33.3
151	37.6
213	40.9
230	66.3
226	+0.28
50
Rk	Team	Conf	G	Rec	AdjOE	AdjDE	Barthag	Efg%	EfgD%	TOR	TORD	ORB	DRB	FTR	FTRD	2P%	2P%D	3P%	3P%D	3PR	3PRD	Adj T.	WAB
26	Nebraska
   (A) 41 UCLA	B10	4	3–1
3–1	114.3
103	91.7
9	.9264
26	53.5
130	45.6
45	15.7
178	19.9
40	28.0
215	25.6
83	28.6
267	28.4
90	56.9
69	51.3
152	33.3
199	26.0
24	48.9
42	46.5
316	65.9
244	+0.5
33
27	Miami FL	ACC	4	3–1
3–1	126.0
26	101.2
63	.9256
27	54.6
95	56.0
288	18.2
276	19.0
61	40.9
10	23.9
45	28.0
279	22.8
26	53.0
158	58.7
320	38.7
76	35.1
190	31.4
304	43.7
281	65.9
244	+0.7
22
28	Virginia Tech
   (H) 139 Boston College	ACC	3	1–2
1–2	127.2
22	102.7
83	.9218
28	58.1
36	50.6
139	13.0
58	15.6
193	30.2
157	37.9
345	16.8
362	33.9
185	57.4
60	56.5
278	39.4
66	27.3
44	39.7
166	37.9
157	63.5
337	-0.33
92
29	Kansas
   (A) 63 Arizona St.	B12	4	2–2
2–2	118.8
69	96.2
28	.9190
29	47.9
294	45.4
39	15.8
183	14.0
265	25.4
279	36.1
328	25.3
313	31.5
155	44.3
346	47.4
73	36.7
121	28.3
61	33.3
275	39.4
198	67.0
193	+0.5
31
30	Iowa	B10	4	2–2
2–2	119.9
61	97.1
36	.9181
30	52.1
178	58.7
333	14.8
127	19.0
61	28.9
192	14.4
3	25.7
308	39.9
271	59.7
31	57.4
302	28.4
321	40.3
316	44.4
93	43.3
268	60.5
364	+0.10
72
31	Arkansas	SEC	4	2–2
2–2	135.1
6	110.3
186	.9111
31	53.0
148	61.9
360	9.6
3	15.9
170	33.1
92	33.6
286	35.1
158	44.3
318	50.9
211	67.3
365	39.2
70	35.1
190	25.7
358	37.2
140	71.1
37	+0.5
32
32	VCU
   (H) 135 George Mason	A10	3	2–1
2–1	121.1
52	100.7
59	.8925
32	52.0
182	50.5
137	15.9
187	16.8
133	32.7
100	31.9
252	51.7
13	29.8
118	50.5
224	48.5
94	35.8
142	35.3
200	46.6
67	45.2
303	70.3
51	+0.02
77
33	Tulsa	Amer	3	3–0
3–0	123.9
37	103.4
94	.8890
33	60.5
19	52.7
202	13.3
67	17.7
103	35.0
54	19.8
10	31.4
224	20.7
15	55.4
103	50.5
129	43.1
20	36.8
247	55.1
4	45.0
301	69.0
100	+0.29
49
34	Providence	BE	3	3–0
3–0	125.8
27	105.2
114	.8869
34	59.2
26	49.0
89	14.2
103	10.8
350	27.8
224	30.8
227	31.2
228	28.9
99	54.2
135	54.6
238	47.2
2	26.7
31	30.6
321	38.7
179	67.8
158	+1.0
12
35	Oklahoma
   (H) 44 Missouri	SEC	4	2–2
2–2	127.1
23	106.8
139	.8813
35	53.8
116	50.4
133	15.4
160	13.8
274	34.3
73	42.4
362	39.5
94	37.8
237	44.9
340	50.0
114	43.8
14	34.1
166	43.0
115	35.3
93	64.9
290	+0.11
71
36	Pittsburgh	ACC	3	2–1
2–1	117.3
74	98.7
45	.8801
36	55.5
